iter	Passed	Remaining
410	4414	6326
411	4415	6301
412	4417	6277
413	4418	6254
414	4422	6234
415	4423	6210
416	4425	6186
417	4427	6164
418	4430	6142
419	4433	6122
420	4437	6103
421	4438	6079
422	4463	6088
423	4487	6096
424	4488	6072
425	4491	6051
426	4537	6089
427	4541	6069
428	4548	6053
429	4561	6046
430	4562	6023
431	4563	5999
432	4563	5976
433	4587	5982
434	4591	5963
435	4595	5944
436	4602	5928
437	4608	5913
438	4621	5905
439	4625	5886
440	4722	5985
441	4723	5963
442	4727	5943
443	4728	5920
444	4728	5897
445	4729	5874
446	4733	5855
447	4740	5840
448	4753	5832
449	4766	5825
450	4791	5833
451	4816	5839
452	4819	5819
453	4844	5826
454	4845	5804
455	4852	5789
456	4853	5767
457	4856	5746
458	4856	5724
459	4869	5716
460	4872	5696
461	4876	5678
462	4877	5657
463	4891	5650
464	4891	5628
465	4893	5607
466	4918	5613
467	4922	5595
468	4923	5574
469	4930	5560
470	4931	5539
471	4934	5519
472	5000	5571
473	5008	5557
474	5011	5539
475	5013	5518
476	5014	5497
477	5026	5489
478	5074	5518
479	5086	5510
480	5093	5495
481	5139	5523
482	5231	5599
483	5232	5578
484	5326	5655
485	5328	5635
486	5420	5709
487	5424	5690
488	5426	5670
489	5449	5672
490	5451	5651
491	5452	5630
492	5477	5633
493	5490	5623
494	5491	5602
495	5498	5587
496	5500	5566
497	5502	5546
498	5598	5621
499	5623	5623
500	5627	5605
501	5631	5586
502	5635	5568
503	5684	5594
504	5709	5596
505	5735	5599
506	5760	5601
507	5762	5580
508	5769	5565
509	5782	5555
510	5880	5626
511	5882	5606
512	5886	5588
513	5890	5569
514	5902	5558
515	5915	5548
516	5922	5532
517	5924	5512
518	5928	5494
519	5928	5472
520	5929	5451
521	5931	5431
522	5937	5415
523	5938	5394
524	5942	5376
525	5946	5358
526	5948	5338
527	6016	5378
528	6017	5358
529	6021	5340
530	6034	5329
531	6040	5314
532	6132	5373
533	6136	5354
534	6137	5334
535	6144	5318
536	6156	5307
537	6162	5292
538	6166	5274
539	6167	5253
540	6192	5253
541	6199	5238
542	6211	5228
543	6212	5207
544	6213	5187
545	6220	5172
546	6222	5153
547	6224	5134
548	6228	5116
549	6234	5101
550	6237	5082
551	6239	5063
552	6263	5063
553	6287	5061
554	6288	5042
555	6295	5027
556	6301	5012
557	6304	4993
558	6316	4983
559	6317	4963
560	6322	4947
561	6323	4928
562	6324	4909
563	6326	4890
564	6327	4871
565	6334	4857
566	6335	4838
567	6347	4827
568	6360	4817
569	6364	4801
570	6367	4784
571	6369	4766
572	6415	4780
573	6422	4766
574	6423	4747
575	6427	4731
576	6430	4714
577	6433	4696
578	6527	4746
579	6528	4727
580	6535	4713
581	6538	4695
582	6631	4743
583	6656	4741
584	6660	4724
585	6661	4706
586	6668	4691
587	6669	4673
588	6670	4654
589	6683	4644
590	6687	4628
591	6700	4617
592	6707	4603
593	6732	4601
594	6734	4584
595	6737	4566
596	6738	4548
597	6745	4534
598	6770	4532
599	6868	4579
600	6870	4561
601	6888	4554
602	6901	4543
603	6908	4529
604	6911	4512
605	6915	4495
606	6919	4479
607	6923	4463
608	6936	4453
609	6938	4436
610	6940	4418
611	6947	4404
612	6947	4386
613	7062	4439
614	7064	4422
615	7111	4433
616	7113	4415
617	7205	4453
618	7212	4439
619	7213	4421
620	7217	4404
621	7218	4387
622	7219	4368
623	7226	4354
624	7239	4343
625	7334	4381
626	7338	4365
627	7340	4348
628	7341	4330
629	7342	4312
630	7346	4296
631	7353	4281
632	7355	4264
633	7357	4247
634	7360	4230
635	7362	4214
636	7370	4200
637	7462	4234
638	7486	4229
639	7490	4213
640	7491	4195
641	7492	4178
642	7499	4164
643	7501	4146
644	7502	4129
645	7506	4113
646	7510	4097
647	7514	4081
648	7516	4065
649	7518	4048
650	7530	4037
651	7533	4020
652	7540	4006
653	7565	4002
654	7578	3991
655	7586	3978
656	7587	3960
657	7685	3994
658	7689	3978
659	7690	3961
660	7691	3944
661	7694	3928
662	7696	3911
663	7702	3897
664	7704	3881
665	7705	3864
666	7708	3848
667	7708	3831
668	7710	3814
669	7735	3810
670	7738	3794
671	7763	3789
672	7777	3778
673	7875	3809
674	7901	3804
675	7903	3788
676	7907	3772
677	7914	3758
678	7927	3747
679	7928	3730
680	7929	3714
681	7933	3699
682	7935	3683
683	7937	3666
684	7938	3650
685	7942	3635
686	7943	3619
687	7945	3603
688	7948	3587
689	7949	3571
690	7950	3555
691	7951	3538
692	7953	3523
693	7953	3507
694	8069	3541
695	8070	3525
696	8162	3548
697	8165	3533
698	8189	3526
699	8237	3530
700	8260	3523
701	8264	3508
702	8267	3492
703	8273	3478
704	8286	3467
705	8287	3451
706	8288	3435
707	8295	3421
708	8297	3405
709	8343	3408
710	8356	3396
711	8358	3381
712	8362	3366
713	8366	3351
714	8373	3337
715	8375	3322
716	8377	3306
717	8381	3291
718	8405	3285
719	8429	3278
720	8436	3264
721	8438	3249
722	8445	3235
723	8446	3220
724	8459	3208
725	8460	3192
726	8462	3177
727	8556	3197
728	8569	3185
729	8576	3172
730	8601	3165
731	8615	3154
732	8616	3138
733	8620	3124
734	8628	3110
735	8632	3096
736	8661	3090
737	8665	3076
738	8672	3062
739	8673	3047
740	8680	3034
741	8684	3019
742	8687	3004
743	8688	2989
744	8738	2990
745	8741	2976
746	8743	2961
747	8844	2979
748	8947	2998
749	9061	3020
750	9064	3005
751	9066	2989
752	9090	2981
753	9090	2966
754	9092	2950
755	9105	2938
756	9118	2927
757	9143	2919
758	9146	2904
759	9170	2896
760	9172	2880
761	9174	2865
762	9222	2864
763	9226	2849
764	9239	2838
765	9252	2826
766	9276	2818
767	9284	2804
768	9331	2803
769	9338	2789
770	9342	2774
771	9350	2761
772	9353	2746
773	9360	2733
774	9455	2745
775	9458	2730
776	9460	2715
777	9463	2700
778	9464	2684
779	9466	2669
780	9472	2656
781	9473	2641
782	9477	2626
783	9571	2636
784	9573	2622
785	9586	2610
786	9590	2595
787	9591	2580
788	9593	2565
789	9606	2553
790	9607	2538
791	9656	2536
792	9661	2521
793	9662	2506
794	9688	2498
795	9702	2486
796	9727	2477
797	9731	2463
798	9744	2451
799	9746	2436
800	9771	2427
801	9874	2437
802	9887	2425
803	10002	2438
804	10003	2423
805	10006	2408
806	10009	2393
807	10025	2382
808	10029	2367
809	10042	2355
810	10046	2341
811	10047	2326
812	10051	2311
813	10052	2297
814	10053	2282
815	10102	2278
816	10104	2263
817	10105	2248
818	10106	2233
819	10154	2229
820	10155	2214
821	10157	2199
822	10158	2184
823	10252	2189
824	10348	2195
825	10354	2181
826	10356	2166
827	10358	2151
828	10370	2139
829	10372	2124
830	10379	2110
831	10473	2114
832	10480	2101
833	10482	2086
834	10486	2072
835	10498	2059
836	10499	2044
837	10503	2030
838	10504	2015
839	10505	2001
840	10509	1986
841	10512	1972
842	10524	1960
843	10528	1945
844	10530	1931
845	10532	1917
846	10533	1902
847	10534	1888
848	10536	1874
849	10540	1860
850	10540	1845
851	10553	1833
852	10556	1819
853	10570	1807
854	10571	1792
855	10618	1786
856	10619	1771
857	10621	1757
858	10625	1744
859	10626	1729
860	10633	1716
861	10660	1706
862	10662	1692
863	10666	1678
864	10667	1664
865	10669	1650
866	10670	1636
867	10683	1624
868	10685	1610
869	10688	1597
870	10692	1583
871	10694	1569
872	10794	1570
873	10801	1557
874	10814	1544
875	10822	1531
876	10871	1524
877	10873	1510
878	10880	1497
879	10989	1498
880	10992	1484
881	10998	1471
882	11000	1457
883	11018	1445
884	11020	1432
885	11046	1421
886	11050	1407
887	11075	1396
888	11076	1382
889	11169	1380
890	11182	1368
891	11184	1354
892	11197	1341
893	11199	1327
894	11200	1314
895	11201	1300
896	11214	1287
897	11216	1274
898	11229	1261
899	11231	1247
900	11235	1234
901	11327	1230
902	11340	1218
903	11341	1204
904	11342	1190
905	11344	1177
906	11348	1163
907	11355	1150
908	11358	1137
909	11406	1128
910	11453	1118
911	11460	1105
912	11554	1101
913	11567	1088
914	11575	1075
915	11676	1070
916	11684	1057
917	11685	1043
918	11688	1030
919	11690	1016
920	11703	1003
921	11704	990
922	11706	976
923	11707	962
924	11708	949
925	11734	937
926	11735	924
927	11742	911
928	11743	897
929	11746	884
930	11748	870
931	11750	857
932	11752	843
933	11759	830
934	11773	818
935	11774	805
936	11801	793
937	11804	780
938	11809	767
939	11816	754
940	11817	740
941	11919	733
942	11920	720
943	11933	707
944	11936	694
945	11940	681
946	11953	668
947	11954	655
948	12070	648
949	12074	635
950	12081	622
951	12082	609
952	12095	596
953	12099	583
954	12106	570
955	12118	557
956	12119	544
957	12126	531
958	12132	518
959	12134	505
960	12134	492
961	12135	479
962	12136	466
963	12140	453
964	12143	440
965	12144	427
966	12148	414
967	12155	401
968	12168	389
969	12172	376
970	12173	363
971	12174	350
972	12175	337
973	12181	325
974	12184	312
975	12187	299
976	12188	286
977	12201	274
978	12203	261
979	12207	249
980	12232	236
981	12233	224
982	12240	211
983	12288	199
984	12300	187
985	12301	174
986	12314	162
987	12318	149
988	12322	137
989	12323	124
990	12418	112
991	12422	100
992	12423	87
993	12429	75
994	12430	62
995	12454	50
996	12455	37
997	12459	24
998	12461	12
999	12509	0
