iter	Logloss
176	0.6709198259
177	0.6707980164
178	0.6706798586
179	0.6705449422
180	0.6704168727
181	0.6702753051
182	0.6701678415
183	0.6700496837
184	0.669937525
185	0.6698219756
186	0.6697051219
187	0.6695678581
188	0.6694423969
189	0.6693171966
190	0.6691921919
191	0.6690623618
192	0.6689219026
193	0.6687877688
194	0.6686565041
195	0.668498243
196	0.668375325
197	0.668248364
198	0.6681321625
199	0.6680239164
200	0.6678796752
201	0.6677737766
202	0.6676449898
203	0.6675175072
204	0.6673871554
205	0.6672554994
206	0.6671329074
207	0.6670268784
208	0.6668789203
209	0.6667602409
210	0.6666403876
211	0.6665303809
212	0.6664217435
213	0.6663141495
214	0.6661811242
215	0.6660624447
216	0.6659388094
217	0.6658029149
218	0.6656973423
219	0.6655731201
220	0.6654472025
221	0.6653284578
222	0.6652204073
223	0.6651100746
224	0.664984809
225	0.6648703681
226	0.6647604918
227	0.664645464
228	0.6645140689
229	0.6644047142
230	0.6642722105
231	0.6641959818
232	0.6640713684
233	0.6639468201
234	0.663818555
235	0.6637087439
236	0.6636075403
237	0.6634979248
238	0.6633670513
239	0.6632406121
240	0.6631129338
241	0.6629840818
242	0.6628544473
243	0.6627508962
244	0.6626086765
245	0.6624871931
246	0.6623844245
247	0.6622757219
248	0.6621554774
249	0.662030864
250	0.6619123149
251	0.661787245
252	0.6616643922
253	0.6615311712
254	0.6613952115
255	0.6612574912
256	0.661139855
257	0.6610029172
258	0.6608762823
259	0.6607568855
260	0.6606333154
261	0.6604931171
262	0.6603764591
263	0.6602574536
264	0.6601327097
265	0.660019573
266	0.6598848522
267	0.659777519
268	0.6596598829
269	0.659542312
270	0.659402831
271	0.6593005841
272	0.6591624072
273	0.6590520093
274	0.6589316344
275	0.6587953486
276	0.6586687137
277	0.6585595547
278	0.6584366366
279	0.6583279341
280	0.6582303822
281	0.6581072685
282	0.6579734607
283	0.6578598022
284	0.6577394926
285	0.6576106406
286	0.6574816582
287	0.6573715862
288	0.6572347788
289	0.6571312277
290	0.657012157
291	0.6568932166
292	0.6567864703
293	0.6566699427
294	0.6565499591
295	0.6564128256
296	0.6562985151
297	0.6561875955
298	0.6560886742
299	0.6559671255
300	0.6558506631
301	0.6557325053
302	0.6556625366
303	0.6555701362
304	0.6554457836
305	0.6553807707
306	0.6552489843
307	0.6551196106
308	0.6549888676
309	0.6548816648
310	0.6547464224
311	0.6546069414
312	0.6544912615
313	0.6543721908
314	0.6542345357
315	0.6541221162
316	0.6539969159
317	0.6538867135
318	0.6537643824
319	0.6536599184
320	0.6535346528
321	0.6534134302
322	0.6532879691
323	0.6531658988
324	0.6530420678
325	0.6529201279
326	0.6527953841
327	0.6526827038
328	0.6525546995
329	0.6524289123
330	0.6523329254
331	0.6522095509
332	0.6520819379
333	0.6519749307
334	0.6518326458
335	0.6517114884
336	0.6515870054
337	0.6514565231
338	0.6513205634
339	0.6512155777
340	0.6510880951
341	0.6509669377
342	0.6508545835
343	0.6507773114
344	0.6506693261
345	0.6505570371
346	0.6504225772
347	0.6503003764
348	0.6501906957
349	0.6500482152
350	0.6499112773
351	0.6497884245
352	0.6496698102
353	0.6495631291
354	0.649434538
355	0.6493005997
356	0.6491701175
357	0.6490377442
358	0.6488938291
359	0.6487596952
360	0.6486459064
361	0.6485389644
362	0.6484461075
363	0.6483306885
364	0.648212335
365	0.648080027
366	0.6479777801
367	0.6478500366
368	0.6477074256
369	0.6475725092
370	0.6474692842
371	0.6473532131
372	0.6472360334
373	0.6471112895
374	0.6469937838
375	0.6468876244
376	0.6467725966
377	0.6466503958
378	0.646522522
379	0.6463821281
380	0.6462834676
381	0.6461736565
382	0.6460680839
383	0.6459267119
384	0.6458030766
385	0.6456838755
386	0.6455807156
387	0.6454553849
388	0.6453314887
389	0.6452158088
390	0.6450675247
391	0.6449368469
392	0.6448152982
393	0.6447030744
394	0.6445729834
395	0.6444595859
396	0.6443430583
397	0.6442189013
398	0.6440964397
399	0.643993932
400	0.6438502776
401	0.6437319242
402	0.6436110929
403	0.6435111282
404	0.6433981871
405	0.6432753343
406	0.6431511773
407	0.6430463872
408	0.6429375543
409	0.6428088327
410	0.6426855886
411	0.6425648877
412	0.6424460126
413	0.6423226381
414	0.6422180437
415	0.6420849531
416	0.6419475588
417	0.6418318789
418	0.6416961148
419	0.6415771745
420	0.6414408888
421	0.6413102761
422	0.6412033994
423	0.6410910452
424	0.6409623888
425	0.6408343193
426	0.6407315507
427	0.6406059591
428	0.6404941917
429	0.6403764904
430	0.6402526595
431	0.6401431744
432	0.6400439923
433	0.6399311816
434	0.6398162842
435	0.6396883451
436	0.6395674485
437	0.6394450522
438	0.6393282638
439	0.6392098451
440	0.6391003601
441	0.6389632266
442	0.6388356135
443	0.638715043
444	0.6386359451
445	0.6385668241
446	0.6384418194
447	0.6383190318
448	0.6382032867
449	0.6380956927
450	0.6379905114
451	0.6378829174
452	0.6377537393
453	0.6376355815
454	0.637529096
455	0.6374017438
456	0.6372687185
457	0.6371385623
458	0.6370187091
459	0.6369035509
460	0.636775351
461	0.6366569976
462	0.6365322537
463	0.6364039234
464	0.6362838093
465	0.6361524142
466	0.6360327566
467	0.635908404
468	0.6357867901
469	0.6356683715
470	0.6355394543
471	0.6353951479
472	0.6352961614
473	0.6351742215
474	0.635067736
475	0.6349469698
476	0.6348379412
477	0.6347212832
478	0.6346131675
479	0.6344873803
480	0.6343682444
481	0.6342637804
482	0.6341662937
483	0.6340371808
484	0.6339187622
485	0.6338101901
486	0.6337040306
487	0.6335953933
488	0.6334592379
489	0.6333501441
490	0.6332320515
491	0.6331033299
492	0.6330007569
493	0.632875361
494	0.6327481392
495	0.632628612
496	0.6324927175
497	0.6323520628
498	0.6322460338
499	0.632143852
500	0.6320359972
501	0.6319137964
502	0.6318047678
503	0.6316997822
504	0.6315881452
505	0.6314793122
506	0.6313687838
507	0.6312366714
508	0.6311260778
509	0.6310164623
510	0.6309084118
511	0.6307793642
512	0.6306713137
513	0.6305573292
514	0.6304428231
515	0.6303504879
516	0.6302578266
517	0.6301420815
518	0.6300151858
519	0.6298872467
520	0.629765698
521	0.6296376285
522	0.629513602
523	0.6294317653
524	0.6293183025
525	0.6292105129
526	0.6290918986
527	0.6289788923
528	0.6288385636
529	0.6287141458
530	0.6286158113
531	0.6284924369
532	0.6284016666
533	0.6282807049
534	0.6281518529
535	0.6280388465
536	0.6279459244
537	0.6278325268
538	0.6277233026
539	0.6275939289
540	0.6274819659
541	0.627351875
542	0.6272268051
543	0.6270984095
544	0.6270377004
545	0.6269391052
546	0.6268417489
547	0.6267290034
548	0.6266024337
549	0.6264900142
550	0.6263710739
551	0.6262625018
552	0.6261545817
553	0.6260479006
554	0.6259466318
555	0.6258464063
556	0.6257436377
557	0.6256393041
558	0.6255277976
559	0.6254197471
560	0.6252926557
561	0.6251611302
562	0.6250263442
563	0.6249035566
564	0.6247853336
565	0.6246802175
566	0.6245743189
567	0.6244749412
568	0.6243621305
569	0.6242508195
570	0.6241442689
571	0.6240191989
572	0.6239148001
573	0.6238099449
574	0.6236929608
575	0.6235916268
576	0.623467209
577	0.6233498337
578	0.623247652
579	0.6231464484
580	0.6230218349
581	0.6228914179
582	0.6227943877
583	0.6226914235
584	0.62256055
585	0.6224346976
586	0.6223263211
587	0.6222063374
588	0.622110807
589	0.6219889323
590	0.6218650361
591	0.6217427702
592	0.6216375237
593	0.6215453841
594	0.6214141194
595	0.6212938097
596	0.6211812598
597	0.6210608849
598	0.6209645068
599	0.6208683894
600	0.6207565568
601	0.6206479195
602	0.6205486721
603	0.6204518375
604	0.620340331
605	0.6202328674
606	0.620130164
607	0.6200212006
608	0.6199070205
609	0.6198032738
610	0.6196804862
611	0.6195788261
612	0.6194613204
613	0.619353596
614	0.6192313952
615	0.6191222362
616	0.6189837333
617	0.6188783564
618	0.6187540038
619	0.6186215001
620	0.6185271434
621	0.6184087248
622	0.6183269533
623	0.618221446
624	0.6181140476
625	0.6180047581
626	0.6178823618
627	0.6177614
628	0.6176464374
629	0.6175267798
630	0.6174100566
631	0.617291964
632	0.6171877608
633	0.617067712
634	0.6169437506
635	0.6168289837
636	0.6167106302
637	0.6165959285
638	0.6164999416
639	0.6163848486
640	0.6162716466
641	0.6161466419
642	0.6160357875
643	0.6159424089
644	0.615829859
645	0.6157038762
646	0.6156073024
647	0.6155111851
648	0.6153753558
649	0.6152713482
650	0.6151635586
651	0.6150371193
652	0.6149387849
653	0.6148296258
654	0.6147126418
655	0.6146115686
656	0.6145033877
657	0.6144076616
658	0.6142933511
659	0.6141834748
660	0.6140525361
661	0.6139225756
662	0.6138030484
663	0.6137013232
664	0.6135922945
665	0.6134903085
666	0.6133745634
667	0.613310333
668	0.6131796552
669	0.6130830162
670	0.6129886595
671	0.6128813915
672	0.6127764058
673	0.6126752022
674	0.6125803238
675	0.6124593621
676	0.6123464209
677	0.6122342623
678	0.6121179304
679	0.6120038155
680	0.6118808322
681	0.6117699778
682	0.6116848807
683	0.6115641798
684	0.6114548903
685	0.61134534
686	0.6112322685
687	0.6111076551
688	0.6109817374
689	0.6109072693
690	0.610785199
691	0.610680409
692	0.6105576214
693	0.6104523748
694	0.6103528015
695	0.6102502285
696	0.6101464818
697	0.6100312583
698	0.6099239252
699	0.6098178961
700	0.6097196921
701	0.6095954047
702	0.6094865065
703	0.6093598716
704	0.6092650585
705	0.6091525086
706	0.609063173
707	0.6089486668
708	0.6088359865
709	0.6087361523
710	0.6086271889
711	0.6085152911
712	0.6084093925
713	0.608285692
714	0.6081750984
715	0.6080635266
716	0.6079472599
717	0.6078360794
718	0.6077254206
719	0.6076238257
720	0.6075161665
721	0.6074175712
722	0.6073088035
723	0.607194819
724	0.6070989625
725	0.6069871951
726	0.6068532569
727	0.6067527706
728	0.6066354605
729	0.6065280621
730	0.6064189683
731	0.6062989846
732	0.6061694805
733	0.6060515836
734	0.605956314
735	0.6058621529
736	0.605761797
737	0.6056379661
738	0.605530046
739	0.6054481441
740	0.6053371592
741	0.6052388248
742	0.6051301875
743	0.6050308097
744	0.6049249763
745	0.6048074054
746	0.6046868349
747	0.6045866094
748	0.6044989692
749	0.6044030475
750	0.6042930407
751	0.6041778173
752	0.60406918
753	0.6039567605
754	0.6038417327
755	0.6037387685
756	0.6036299355
757	0.6035260584
758	0.6034183339
759	0.6033111311
760	0.6032120142
761	0.6030941173
762	0.6029930441
763	0.6028754732
764	0.6027735523
765	0.6026666755
766	0.6025622767
767	0.6024489444
768	0.6023556962
769	0.6022458851
770	0.6021231627
771	0.6020107432
772	0.6018828694
773	0.601772993
774	0.6016750499
775	0.6015742375
776	0.6014441466
777	0.6013233152
778	0.6012052226
779	0.6010978242
780	0.6009838398
781	0.6009131538
782	0.6008156018
783	0.6007267879
784	0.6006205632
785	0.6005124475
786	0.6004110483
787	0.600296803
788	0.6001989903
789	0.6000834408
790	0.5999898666
791	0.5998846201
792	0.5997727875
793	0.5996547601
794	0.5995502961
795	0.5994442019
796	0.5993308043
797	0.5992311657
798	0.5991367438
799	0.5990073701
800	0.5989076663
801	0.5988112882
802	0.5987075414
803	0.5986110981
804	0.5984911796
805	0.5983695658
806	0.5982600807
807	0.598145379
808	0.5980362199
809	0.5979344295
810	0.5978347909
811	0.5977219802
812	0.5976042136
813	0.5975043142
814	0.5974181738
815	0.5973216
816	0.5972160926
817	0.5971050425
818	0.5969883845
819	0.5968822251
820	0.5968167558
821	0.5967152913
822	0.596599481
823	0.596500951
824	0.5963997474
825	0.5963027824
826	0.5962172288
827	0.5961054614
828	0.5960033449
829	0.5958847959
830	0.5957784408
831	0.5956788674
832	0.595578642
833	0.5954557239
834	0.5953433697
835	0.5952482305
836	0.595136724
837	0.595034477
838	0.5949246659
839	0.5948048127
840	0.5946865245
841	0.5945752788
842	0.5944611639
843	0.594342354
844	0.5942419329
845	0.5941283397
846	0.5940206805
847	0.5939256065
848	0.593817556
849	0.5937085274
850	0.5935966296
851	0.593507294
852	0.59340909
853	0.5933103643
854	0.5931962494
855	0.5930903508
856	0.5929700411
857	0.5928516225
858	0.5927358774
859	0.5926239144
860	0.5925165812
861	0.5924141387
862	0.5923179561
863	0.5922125792
864	0.5921123537
865	0.5920193664
866	0.5919061644
867	0.5918095254
868	0.5916981493
869	0.5915820782
870	0.59146379
871	0.5913680639
872	0.5912747505
873	0.5911633092
874	0.5910564325
875	0.590948708
876	0.5908527863
877	0.5907484527
878	0.5906634208
879	0.5905668471
880	0.5904554709
881	0.5903495071
882	0.5902415219
883	0.5901313195
884	0.5900254209
885	0.5899210873
886	0.5898286216
887	0.5897309393
888	0.5896412124
889	0.5895408565
890	0.5894389356
891	0.5893441877
892	0.5892214001
893	0.5891174577
894	0.5890059512
895	0.5888941186
896	0.5887935019
897	0.5886923635
898	0.5885832045
899	0.5884761973
900	0.5883761023
901	0.5882804414
902	0.5881794987
903	0.5880759476
904	0.5880179772
905	0.5879147521
906	0.5878192869
907	0.5877103235
908	0.5875980997
909	0.5875013303
910	0.5874069083
911	0.5873078566
912	0.5872221075
913	0.5871257293
914	0.5870203524
915	0.5869293865
916	0.5868381598
917	0.5867224799
918	0.5866088867
919	0.5864857731
920	0.586388808
921	0.5862764538
922	0.586178641
923	0.5860714383
924	0.5859836024
925	0.5858947232
926	0.5858033009
927	0.5856913379
928	0.5856080014
929	0.5855055589
930	0.5854043553
931	0.5853048471
932	0.5852124467
933	0.5851101345
934	0.5850050184
935	0.5849027715
936	0.5847928952
937	0.5846942347
938	0.5845837063
939	0.5844880455
940	0.5844013834
941	0.5843067006
942	0.5842026279
943	0.5841025328
944	0.5839975471
945	0.583895235
946	0.5837998349
947	0.5837317573
948	0.5836381179
949	0.583519634
950	0.5834293202
951	0.5833265516
952	0.5832346077
953	0.5831446199
954	0.5830478505
955	0.5829461253
956	0.5828694401
957	0.5827769744
958	0.5826693152
959	0.5825777624
960	0.5824705597
961	0.5823827238
962	0.5822678916
963	0.582147908
964	0.5820489867
965	0.5819322635
966	0.5818386893
967	0.5817289434
968	0.5816268269
969	0.5815131033
970	0.5813997709
971	0.5812791352
972	0.5812127529
973	0.5811056805
974	0.5810056507
975	0.5809000129
976	0.580799005
977	0.5806982578
978	0.5805929461
979	0.5805032844
980	0.5804069063
981	0.580295791
982	0.5801990216
983	0.5800997742
984	0.579996484
985	0.5798929329
986	0.5797842955
987	0.5796722673
988	0.5795713897
989	0.5794714251
990	0.5793813722
991	0.5792778863
992	0.5791779217
993	0.5790653066
994	0.5789496267
995	0.5788614648
996	0.5787483933
997	0.5786421034
998	0.5785166423
999	0.5784222203
